rdkit_ring_count,n,mean_residual,median_residual,mean_residual_ci_low,mean_residual_ci_high,median_residual_ci_low,median_residual_ci_high,mean_abs_residual,median_abs_residual,mean_abs_residual_ci_low,mean_abs_residual_ci_high,median_abs_residual_ci_low,median_abs_residual_ci_high,feature_type,rdkit_aromatic_rings
11.0,3,2.3552847587842574,3.383826476237152,-0.9172035194628468,4.599231319578466,-0.9172035194628468,4.599231319578466,2.9667537717594885,3.383826476237152,0.9172035194628468,4.599231319578466,0.9172035194628468,4.599231319578466,total_ring_count,
13.0,1,-6.528801352396977,-6.528801352396977,-6.528801352396977,-6.528801352396977,-6.528801352396977,-6.528801352396977,6.528801352396977,6.528801352396977,6.528801352396977,6.528801352396977,6.528801352396977,6.528801352396977,total_ring_count,
,3312,0.2880756905418147,0.36589050157119973,0.24320510995144964,0.3307795373967774,0.323225817648235,0.41655189971106893,1.0008345137881376,0.8251279280279302,0.9731011914006612,1.0292038402440506,0.7961534930704784,0.8607121390355711,aromatic_ring_count,0.0
,2634,0.035307206015754954,0.00395484779086645,-0.004036061275526672,0.075376841076688,-0.05011751293696837,0.0459474067430014,0.7772978766214214,0.6060833786121959,0.7521562982940022,0.8028253792626617,0.583501411973349,0.6387100937342644,aromatic_ring_count,1.0
,2084,-0.41702419871140234,-0.5216192319506823,-0.4709092702280309,-0.3635622378867273,-0.568354908024401,-0.4615784228550383,1.043565845630457,0.8601138983272483,1.0077808590760962,1.078932028153139,0.8247127144744404,0.8978411358150904,aromatic_ring_count,2.0
,425,-0.37074604107948095,-0.4572534369652228,-0.5202764899582236,-0.2155218953388579,-0.6317132348961287,-0.3060684335724524,1.3242919803166282,1.064904986837144,1.22599653535197,1.4255022350544173,0.971201839771608,1.2683751696751369,aromatic_ring_count,3.0
,115,-0.334541584694951,-0.5967355463979072,-0.7385767093693262,0.07619987332630884,-1.4139528622341713,0.0339969086727167,1.837160767425487,1.5121185837511684,1.617402476756502,2.074612207308652,1.43351822059166,1.9006767270015308,aromatic_ring_count,4.0
,42,-0.7100388970281409,-1.6169353936147246,-1.3665665478466327,-0.025620653436892477,-2.064690381658291,-0.24052336606428468,2.094590612464099,2.2307524976777446,1.7990792556584188,2.3987589513966476,1.9204975376202276,2.645148334997997,aromatic_ring_count,5.0
,13,1.4051589212240845,2.224300696662993,-0.028418800903752615,2.729337222803553,-0.3274300022190628,3.0740820348842046,2.5353470901613737,2.446539443979584,1.768275319025535,3.3992958671739304,1.7871898342487746,3.1095507178990216,aromatic_ring_count,6.0
,10,1.4613272420631802,2.1642874321872223,-0.06770760599052666,2.8146918620196524,-0.515502088750639,3.393026920723032,2.4894109027049356,2.6455026508141337,1.7558649052860418,3.179577445189093,1.7021187427566211,3.393026920723032,aromatic_ring_count,7.0
,3,0.5021714529786138,-0.368967164435765,-2.493905901035763,4.369387424407369,-2.493905901035763,4.369387424407369,2.4107534966262993,2.493905901035763,0.368967164435765,4.369387424407369,0.368967164435765,4.369387424407369,aromatic_ring_count,8.0
,3,3.660023352062909,3.75288873660513,2.6279500000051303,4.599231319578466,2.6279500000051303,4.599231319578466,3.660023352062909,3.75288873660513,2.6279500000051303,4.599231319578466,2.6279500000051303,4.599231319578466,aromatic_ring_count,9.0
,2,1.2333114783871526,1.2333114783871526,-0.9172035194628468,3.383826476237152,-0.9172035194628468,3.383826476237152,2.1505149978499993,2.1505149978499993,0.9172035194628468,3.383826476237152,0.9172035194628468,3.383826476237152,aromatic_ring_count,11.0
