repetition,seed,n_train,n_test,n_train_scaffolds,n_test_scaffolds,baseline_test_rmse,feature,native_importance,native_rank,permutation_importance,permutation_importance_sd,permutation_rank
4,103,6914,1729,1102,565,1.130517578038321,rdkit_mollogp,0.8451868706101954,1,1.487204900241283,0.015651782496347195,1
4,103,6914,1729,1102,565,1.130517578038321,rdkit_ring_count,0.01875382734032856,5,0.011631075964413951,0.0027148479797251524,5
4,103,6914,1729,1102,565,1.130517578038321,rdkit_aromatic_rings,0.02833202623174401,3,0.0004950886133190169,0.005118384713538402,6
4,103,6914,1729,1102,565,1.130517578038321,rdkit_rotatable_bonds,0.010882089064637245,6,0.024966832486127122,0.004728014102268467,4
4,103,6914,1729,1102,565,1.130517578038321,rdkit_fraction_csp3,0.02248032684209889,4,0.06392962269483052,0.005129257908843924,3
5,104,6912,1731,1045,622,1.1478485239240512,rdkit_molwt,0.08950410712455019,2,0.16239039907041247,0.009506105902752419,2
5,104,6912,1731,1045,622,1.1478485239240512,rdkit_mollogp,0.8434819045721473,1,1.5873700387503669,0.029780385545008548,1
5,104,6912,1731,1045,622,1.1478485239240512,rdkit_ring_count,0.0157671174055583,5,0.009790688101662216,0.001994748229560944,6
5,104,6912,1731,1045,622,1.1478485239240512,rdkit_aromatic_rings,0.01924609568663603,4,0.021423275446471757,0.004331402182104309,5
5,104,6912,1731,1045,622,1.1478485239240512,rdkit_rotatable_bonds,0.0065811460638947675,6,0.023094999875263846,0.003863058911044255,4
5,104,6912,1731,1045,622,1.1478485239240512,rdkit_fraction_csp3,0.02541962914721341,3,0.0633217292963009,0.002561328077747178,3
6,105,5655,2988,1359,308,1.1564773059722342,rdkit_molwt,0.07864419646702439,2,0.320963010000093,0.011228826167739497,2
6,105,5655,2988,1359,308,1.1564773059722342,rdkit_mollogp,0.8580902568898896,1,1.7820635360046606,0.025831302263713277,1
6,105,5655,2988,1359,308,1.1564773059722342,rdkit_ring_count,0.012527133153006163,6,0.004555215688617253,0.001127614812728748,6
6,105,5655,2988,1359,308,1.1564773059722342,rdkit_aromatic_rings,0.01791426846416451,4,0.014788505841552868,0.0033372597772824654,5
6,105,5655,2988,1359,308,1.1564773059722342,rdkit_rotatable_bonds,0.013022919126997646,5,0.06426974639028449,0.007312907310013422,3
6,105,5655,2988,1359,308,1.1564773059722342,rdkit_fraction_csp3,0.019801225898917713,3,0.05275263987802219,0.003819333138239502,4
7,106,6769,1874,1562,105,0.9424741092925367,rdkit_molwt,0.08195631477131059,2,0.18443264983095004,0.0061642294833829285,2
7,106,6769,1874,1562,105,0.9424741092925367,rdkit_mollogp,0.8375846853333194,1,1.039058629295638,0.03173411696588909,1
7,106,6769,1874,1562,105,0.9424741092925367,rdkit_ring_count,0.03284425243969334,3,0.018884764563185764,0.002296067609812809,5
7,106,6769,1874,1562,105,0.9424741092925367,rdkit_aromatic_rings,0.009572855516569837,6,-0.0024932217750142983,0.0006416808077379545,6
7,106,6769,1874,1562,105,0.9424741092925367,rdkit_rotatable_bonds,0.010648422219280784,5,0.019261491262959583,0.005584630341397806,4
7,106,6769,1874,1562,105,0.9424741092925367,rdkit_fraction_csp3,0.027393469719826032,4,0.022331086059698357,0.003916664183734544,3
8,107,6239,2404,1621,46,1.1468656640255992,rdkit_molwt,0.08958491830063194,2,0.25629833907748945,0.012674904580958565,2
8,107,6239,2404,1621,46,1.1468656640255992,rdkit_mollogp,0.8502239260228808,1,1.7147203128419748,0.026475351208770755,1
8,107,6239,2404,1621,46,1.1468656640255992,rdkit_ring_count,0.01503238693395359,4,0.0006147304513337781,0.0012654149513300038,5
8,107,6239,2404,1621,46,1.1468656640255992,rdkit_aromatic_rings,0.007949127073437551,6,-0.0006886039049985194,0.001167539892984027,6
